명칭,지역,주소,위도,경도,전화번호,내용,비용,이미지주소,카테고리,,,
라폼므현대미술관,충북 청주시,충청북도 청주시 상당구 이정골로 95,36.6350672,127.5239318,043-287-9625,"2014년 8월에 개관한 라폼므현대뮤지엄은 주로 미디어의 향방을 모색하는 연구와 기획전을 개최해온 통합예술전시공간이다. 총 4개관으로 이루어진 전시장에서는 회화, 조각뿐만 아니라 미디어, 설치작품, 디자인 등 다양한 분야의 전시를 하고 있고 예술의 경계를 확장해 나가고 있으며, 사회와 문화의 예술적 가치를 반영하는 전시를 기획하여 대중들의 삶 속에서 예술문화가 뿌리내릴 수 있도록 노력하고 있다. 이밖에도 교육, 국제교류, 음악, 창작지원 등의 많은 프로그램을 기획하여 문화예술을 통한 만남과 소통의 역할을 다 하고 있다. 그림에서 들리는 소리를 다시 그림으로 표현해 보거나 벽을 따라 음악과 함께 빛을 만져보며 미디어 예술을 체험할 수 있도록 하여 미술 활동을 좀 더 가까이에서 느낄 수 있도록 했다.  

 

라폼므현대뮤지엄은 ‘일상 속 예술’을 추구함으로, 우리 주변에서 쉽게 발견할 수 있는 사물의 가치를 새롭게 조명함으로써 대중들이 일상 속에서 예술을 즐길 수 있도록 새로운 라이프스타일을 제안하고자 건립되었다. 작품 감상과 함께 다양한 문화행사가 열리는 공간이며, 예술교육 프로그램이 진행되는 공간으로 지역사회 교육발전에 기여하고자 한다. ","청소년 이상 : 5,000원 청소년 이하 : 3,000원",https://www.nzine.co.kr/files/editor/attached/6942c0b05ad730c44fed6702fbc2f4d0.jpg,미술관,,,
아미미술관,충남 당진시,충청남도 당진시 순성면 남부로 753,36.8617816,126.6803672,041-353-1555,"아미미술관은 폐교된 (구)유동초등학교를 활용해 만든 사립미술관으로, 전통문화 유산과 자연환경이 급속도로 파괴되고 사라져가는 현 상황에서 지역의 건축, 문화, 풍속, 생활상 등을 훼손하지 않고 원형 그대로 보존하고 개방하는 생태미술관을 지향하고 있다. 단순한 전시 프로그램을 떠나 미술문화의 활성화를 위해 새로운 콘텐츠를 개발하여 경쟁력을 높이고 있으며, 당진의 생활모습들이 반영되어 있는 배, 건물 등 시간의 흐름 속에서 쉽게 사라져 버릴 수 있는 것들을 수집하여 복구, 보존하고 지역사회와 공유하기 위한 프로젝트를 개발하고 있다.","성인 6,000 원 / 24개월 ~ 고등학생 4,000 원
경로(만70세이상), 장애인, 군인(병사) 및 국가유공자 4,000원",https://www.dangjin.go.kr/uloads_clone/tursmCn/TUCN_202109281210352081.jpg,미술관,,,
당림미술관,충남 아산시,충청남도 아산시 송악면 외암로1182번길 34-19,36.742747,127.0186944,041-543-6969,"당림미술관은 아산 출신의 원로 화가인 고 당림 이종무 화백이 낙향하여 2003년 타계할 때까지 작품 활동을 이어가던 곳에 세워진 충남 1호 미술관이다.
1997년에 설립된 후 이종무 화백이 타계한 후에는 아들 이경렬 관장이 관리하고 있으며, 동양화, 서양화, 판화 조각 등 1,000여 점의 작품을 소장하고 있다. 그리고 연중 다양한 미술가들의 작품을 전시하고 있다. 또한 800여 평의 야외 조각공원이 조성되어 있고 갤러리, 카페 시설도 갖추어져 있다. 카페는 이경렬 관장이 직접 설계하여 시낭송회, 작품 설명회 등을 개최하기도 하는 또 하나의 문화공간이다. 가을에는 어린이를 대상으로 바닥에 그림을 그리는 바닥화 체험 프로그램을 운영한다.
주변에는 송악저수지, 온양온천, 온주아문 및 동헌, 아산 읍내리 당간지주 등이 있다."," 성인 4,000원 / 청소년, 어린이 2,000원
바닥화 체험 38,000원
※ 단체 관람료는 전화문의",https://koreaartguide.com/data/file/museum/3732026602_OwcYCJEP_b6a48229b33d8c5a47785b887a54ce47067957d4.jpg,미술관,,,  
리각미술관,충남 천안시,충청남도 천안시 동남구 태조산길 245 (유량동),36.8207937,127.1859704,0507-1343-3463,"리각미술관은 조각가 이종각 선생의 예술적 열정과 성취를 보존하고 연구하기 위한 기념적 성격의 미술관으로 관의 명칭은 조각가 이종각의 이름에서 중간자를 빼고 작명하였다. 갈수록 심화되고 있는 서울의 문화집중현상에 대한 보완적 혹은 대안적 성격을 갖는 ‘지역’의 현대미술관이라 할 수 있으며 대지 1만 5천700㎡(4천 7백 50평)에 달하는 야외조각공원과 850㎡(260평)에 이르는 실내전시 공간을 활용해서 다양한 현대미술의 실험들을 담아낼 뿐 아니라, 궁극적으로는 미술을 넘어서서 천안 시민들과 소통하기 위한 프로그램들을 창의적으로 구현하는 ‘문화센터’로서의 기능과 목적을 지향하고 있다.","성인 3,000원 / 학생(8~19세) 2,000원",https://www.canews.kr/news/photo/201802/382_550_3634.jpg,미술관,,,
천안시립미술관,충남 천안시,충청남도 천안시 동남구 종합휴양지로 185,36.7563419,127.2263548,041-901-6611,"천안시립미술관은 제1종 공립미술관으로서 지역미술이 지닌 역사적 가치를 연구하고
소장품의 수집과 체계적 관리를 통해 지역의 문화자산을 보존하며
미술문화로 시민과 융합·소통의 가치를 구현하고자 합니다.",무료,https://www.camoa.or.kr/images/camoa/sub02/sub0203_topimg.jpg,미술관,,,
이응노의 집 고암이응노생가기념관,충남 홍성군,충청남도 홍성군 홍북면 이응노로 61-7,36.6224474,126.6318622,041-630-9232,"고암이응노생가기념관은 이응노가 탄생하고 유년을 보냈다는 충남 홍성군 홍북면 중계리의 낮은 산자락 끝에 자리 잡고 있다. 고암이응노생가기념관은 대지 면적 2만여㎡, 건축 면적 1천여㎡로 전시 홀, 북 카페, 다목적실 등 전시 시설을 중심으로 하는 공간과 초가로 지은 생가, 연밭, 산책로 등을 갖춘 기념관이자 미술관이다. 이응노 개인을 기리고자 마련된 이 생가기념관은 그 자신이 미술가였기에 기능면에서 전시와 수장 공간이 반드시 필요한 미술관의 성격이 한층 더 강하다. 이런 의미에서 ‘고암이응노생가기념관’은 기념관은 물론, 미술관의 측면에서 살펴보아야 할 것이다."," 어른 : 1,000원 (15인 이상 단체 700원)
어린이,청소년,군인 : 500원 (15인 이상 단체 300원)
무료 : 노인(65세 이상) 및 유아(6세 이하), 장애인(1급~3급) 및 보호자, 국가유공자, 독립유공자, 5.18 민주 유공자 등",https://www.yongcam.com/data/cheditor4/1508/730c46bcaca987331391ea66bd956a35_20150806102639_uulwghjf.jpg,미술관,,,
오마이갤러리 세계명화 트릭아트전시관,충남 태안군,충청남도 태안군 안면읍 안면대로 3171-6,36.4986479,126.3580068,041-673-6343,"오마이갤러리는 세계의 가장 유명한 명화들을 복제하여 150여 점을 전시해 놓은 세계명화학습체험장이다. 일반적으로 어렵고 딱딱하게 생각하는 미술을 보다 친근하고 쉽게 풀어보고자 만든 미술관이며, 구성은 8개의 건물에 세계의 유명미술관별로 가장 대표적인 명화들을 전시하여 놓고 그 건물 바깥면에는 트릭아트와 패러디 아트를 설치하여 보다 재미있고 유쾌하게 접하도록 하였다. 이곳은 어린아이의 교육용은 물론 명화애호가 및 미술 관련 종사자들도 즐기기에 적합하게 구성되어 있으며, 실내가 약 70%이고 외부가 약 30%의 콘텐츠로 되어있어 뜨거운 여름철이나 추운 겨울철에도 마음 놓고 관람이 가능하다. 안에는 카페와 식당이 있으며 멋진 실외 파라솔이 있는 휴게 공간이 넓게 자리하고 있고, 상시적으로 명화해설 프로그램을 가동하고 있으며 체험교실(유료)과 기념품샵도 있다. 안면도의 자연휴양림과 붙어 있어 접근이 쉽고 넓은 대형 주차장이 있다. 안면도에는 유명한 관광지들이 많이 있어서 주변의 여행지와 함께 묶어서 여행을 권장한다."," 성인 : 개인 10,000원 / 단체 8,000원
청소년 : 개인 8,000원 / 단체 6,000원
어린이 : 개인 6,000원 / 단체 4,000원
경로 : 개인 7,000원 / 단체 5,000원
지역주민 : 7,000원
※ 자세한 사항은 홈페이지 참조",https://pbs.twimg.com/media/FQmkPmOakAEDXSR?format=jpg&name=4096x4096,미술관,,,
서해미술관,충남 서산시,충남 서산시 부석면 무학로 152-13 서해미술관,36.6386821,126.3774922,010-5244-9727,"서해미술관은 서양화가 정태궁 관장의 작업실과 상설전시장으로,
동료작가들의 창작공간으로 제공되고 있습니다. 또한 지역민, 어린이,
청소년들에게도 커뮤니티 공간으로 활용되고 있습니다.",무료,https://ojsfile.ohmynews.com/STD_IMG_FILE/2022/1129/IE003084383_STD.jpg,미술관,,,
면천읍성안 그 미술관,충남 당진시,충청남도 당진시 면천면 성상리 782-11,36.8177914,126.6693143,010-4245-9989,"옛 면천우체국을 리모델링한 ‘면천읍성안 그 미술관’과 동네 책방 ‘오래된 미래’, 책방과 나란히 자리한 ‘진달래상회’가 주인공이다. 이들 공간은 우체국, 자전거포, 대폿집같이 오래돼 쓸모를 다한 공간에 감성을 덧입혀 다시 태어났다. 미술관과 책방에는 예쁜 휴게 공간이 마련돼 여행자를 위한 쉼터로도 손색이 없다.","5,000원",https://cdn.idjnews.kr/news/photo/201902/56219_40450_2144.jpg,미술관,,,
아트센터고마,충남 공주시,충청남도 공주시 웅진동 347,36.466643,127.1070151,041-852-6037,"공주 고마나루길에 있는 아트센터꼬마는 창조와 문화 영역이 조화된 문화예술 복합공간이다. 관객의 개인 가치, 대중, 지역민을 우선시한다. 또한 참여와 개입이 이루어지는 소통의 공간, 사회의 공간으로 확대시키고 우수한 전시, 대관, 공연 콘텐츠 제공으로 지역 대표 문화예술 중심지를 자처한다. 과거와 현재 그리고 미래의 예술과 문화를 아우르게 될 아트센터 꼬마는 다양한 전시, 행사 등을 통해 관람객에게 풍요로운 삶을 제공한다.
",무료,https://tong.visitkorea.or.kr/cms/resource/97/2759697_image2_1.jpg,미술관,,,
순성미술관,충남 당진시,충청남도 당진시 순성면 순성로 493-12,36.8432401,126.7125855,010-3414-6819,"순성면 봉소리 식당 이조가든이 20년 만에 미술관으로 재탄생했다. 지난달 22일 순성미술관(관장 이병수)이 문을 열었다. 26평 규모의 소박한 미술관이다.

“지역민 삶에 젖어들었으면”
이병수 관장은 대학에선 경영학을 전공했지만, 그림이 좋아 대학원에서 회화를 배웠다. 아마추어로 시작해 20년 동안 그림을 그려왔던 이 관장은 드디어 오래된 꿈을 이뤘다. 이 관장은 “모든 미술인들의 꿈은 갤러리 개관”이라며 “운영하던 식당을 리모델링해 미술관을 열게 됐다”고 말했다.

“그림을 그리는 동안에는 스트레스가 사라지고 행복해지더라고요. 작품을 보는 것도 마찬가지인 것 같아요. 감상하는 것만으로도 행복해지죠. 이렇게 순성미술관이 지역민들의 삶에 젖어들었으면 좋겠어요. 순성미술관이 시민들의 삶과 어떻게 어울릴 수 있을지 고민하고 있습니다.”","어른 : 2,000원 학생 : 1,000원",https://cdn.idjnews.kr/news/photo/202204/134119_94916_4832.jpg,미술관,,,
뮤지엄호두,충남 천안시,충청남도 천안시 동남구 광덕면 광풍로 315,36.6775221,127.0568302,041-414-4464,"2018년 천안 광덕면에 개관한 화이트블럭 천안창작촌은 아트센터 화이트블럭에서 운영하는 창작스튜디오로, 작가의 창작역량 강화 및 지역의 문화예술발전에 이바지해 왔습니다.

2023년 뮤지엄호두 개관을 기점으로 동시대 미술의 동향을 읽는 전시 개최 및 다양한 예술프로그램 기획·운영, 양질의 작가지원 프로그램 확대를 통한 한국예술발전에 기여하고자 합니다.","성인 : 5,000원 청소년, 군인 : 3,000원 어린이(6~13세) : 3,000원 영유아(0~5세) : 무료",https://cdn.newsfreezone.co.kr/news/photo/202311/530158_534298_2221.png,미술관,,,
모산조형미술관,충남 보령시,충청남도 보령시 성주면 성주산로 689,36.3108573,126.6552308,041-933-8100,"모산조형미술관은 개관 이래 이 ‘남포오석’이라는 미술관만의 독창적인 컨텐츠를 구축해왔고, 이를 중심으로 한 지역미술문화의 활성화를 위해 노력하고 있다. 또한 창의력과 집념을 가지고 연구하고 노력하는 지역예술인들을 발굴하고, 그들의 창작 의욕을 북돋아 새로운 문화 예술에 중요한 역할을 할 수 있도록 그들을 돕고 격려하고 있다. 전시, 레지던스, 교육프로그램 등 다양한 문화 프로그램의 지속적인 기획과 운영을 통해서 예술가, 지역민, 미술관이 함께 상생발전하는 보령 지역 대표적인 문화 기관이다.",개화예술공원 입장시 무료,https://koreaartguide.com/data/file/museum/2042211114_8pRhCLMT_d47152e9549de659d9cd88025318d8c277fb8d66.JPG,미술관,,,
화이트블럭 천안창작촌,충남 천안시,충청남도 천안시 동남구 광덕면 광덕리 174,36.6776029,127.0569897,041-414-4464,"2011년 4월에 개관한 아트센터 화이트블럭은 파주 헤이리 예술마을 중심인 갈대광장에 자리하여 자연과 건축의 조화를 이루고 있습니다. 
아트센터 화이트블럭은 작가의 작품발표의 장이자 미술계 이론가와 작가의 교류와 협력의 플랫폼이며 헤이리를 찾는 다양한 연령대의 관객에게는 미술문화향유의 공간입니다. 
동시대 사회와 미술의 동향을 읽어내고 의미를 생성시키는 전시와 프로그램을 기획하며 지역사회의 요구를 수용하여 함께 성장하고자 합니다.","3,000 원
카페 이용 시 무료 관람",https://cdn.joongboo.com/news/photo/202004/2020041301000698900028151.jpg,미술관,,,
오경덕미술관,충남 당진시,충남 당진시 순성면 봉소리 355-,36.8393553,126.7063911,041-358-5553,"
충남 당진 출생으로 지푸라기에 얽힌 인간애를 통한 휴머니티 메세지를 전달하는 오경덕화가의
개인 미술관인 오경덕미술관을 소개합니다.
1층 75평, 2층 35평 총110평 규모의 사설미술관으로
평일, 공휴일, 토요일 모두 오전 9시 30분부터 오후 6시까지 운영되며, 일요일은 휴무라고 합니다.","4세 이상~고등학생
1,000원
성인
3,000원",https://mblogthumb-phinf.pstatic.net/MjAxODA0MDVfMTEw/MDAxNTIyOTA5MjI4NzI4.n_GkD7fDOE_VeUJGt3bKTd-hFeAyz0DZMbp8_TbGOxcg.emvARvsAOyd0VGkboUaQglBvDBINlukx38LYIP9802Qg.JPEG.dangjin2030/14.jpg?type=w800,미술관,,,
