명칭,지역,주소,위도,경도,전화번호,내용,비용,이미지주소
한남대학교 중앙박물관,대전,대전광역시 대덕구 한남로 70 한남대학교 인사례교양동 3ㆍ4층(우 34430),127.4225257,36.3547825,042-629-8254,한남대학교 중앙박물관은 1982년 개관하여 40여 년 동안 선조들이 남긴 귀중한 문화유산을 발굴ㆍ수집ㆍ보존하면서 선사시대부터 현대에 이르기까지 고고ㆍ민속ㆍ기독교사ㆍ한복ㆍ고문서ㆍ대학교사자료 등 다양한 자료를 축척하여 명실상부한 종합박물관의 면모를 갖추고 있습니다.,무료,https://cdn.edujin.co.kr/news/photo/201609/13760_18327_5441.jpg
테미마을박물관,대전,대전 중구 보문로 184,127.4249723,36.3193656,042-252-2238,"대전 최초 주민 주도형 마을 박물관으로 주민들의 열정과 노력으로 만들어진 공간입니다. 테미마을 박물관은 기획 전시실과 상설 전시실로 나뉘어 있고,

2024년 1월 17일부터 기획 전시실에서는 ""대전의 마을 돌장승과 바위구멍"" 전시가 진행되고 있습니다. 

?

이번 전시에서는 비룡동 줄골 돌 장승을 비롯한 대전의 마을 돌장승과 함께 바위 구멍을 소개하고 있는데요.

대전의 돌 문화유산에 담긴 다양한 이야기를 만나보길 바라는 마음에서 전시를 개최했다고 합니다.",무료,https://img.hankyung.com/photo/202402/AKR20240220087600063_01_i_P4.jpg
대청호자연생태관,대전,대전광역시 동구 추동 454-3,127.4707328,36.3732163,042-274-6314,"호반낭만길'이라고 불리는 대청호오백리길 4구간에 있는 대청호자연생태공원은 생태공원과 대청호의 자연이 어우려져 있는 낭만적인 공간이다. 대청호는 대전의 대덕구, 동구와 충북의 청주시, 옥천군, 보은군에 맞닿은 커다란 인공호수다. 호수 둘레의 길이가 80킬로미터에 이르며, 한국에서 세 번째로 큰 호수로 주변 풍경이 아름다워 드라이브코스로 유명하고 대청호오백리길이 다듬어지면서 많은 사람들이 즐겨  찾는 장소가 되었다.",무료,https://gocamping.or.kr/upload/camp/1272/thumb/thumb_1000_96940lp2t7ZmKkDts28E6ism.jpg
해피뮤지엄,대전,대전 대덕구 남경마을로1번길 6,127.429677,36.4434744,042-936-3232,"즐거움이 가득한 체험형 교육 박물관
대전광역시 대덕구에 위치한 해피뮤지엄은 아동 발달 과정을 접목한 체험 및 전시, 공연을 한 곳에서 만날 수 있는 곳으로 3세부터 7세까지 이용 가능하며, 여러 프로젝트를 통해 재미있고 특별한 경험을 해볼 수 있습니다.","성인 7,200원, 어린이 14,200원",http://bbkk.kr/d/t/39/3943_%EB%A9%94%EC%9D%B8.jpg
국립청주박물관,충북 청주시,충북 청주시 상당구 명암로 143 국립청주박물관,127.5117113,36.6494121,043-229-6300,"국립청주 박물관은 충북지역의 문화유산을 조사·발굴하고 연구하여 전시하고 있으며 다양한 교육 프로그램을 통해 청주지역의 문화 특색을 조명하고자 1987년 10월 30일 개관했다. 박물관은 우리나라 대표 건축가 김수근 선생이 설계했으며 한국 현대건축의 기념비적인 작품으로 우암산 동쪽 기슭의 풍광을 배경 삼아 상당산성에 이르는 골짜기에 자리 잡고 있다.
2022년 상설전시관을 새롭게 개편해 공개했으며 고고실과 미술실에는 충청북도의 선사, 고대, 삼국, 통일신라, 고려, 조선 발굴품 및 금속 문화재와 불비상 등 1,400여 점을 전시하고 있고 고 이건희 회장 수집 금속 문화재를 함께 전시하고 있다. 또, 국립청주박물관의 금속 문화 브랜드 강화를 위해 금관실을 열고 금속공예의 정수, 서봉총 금관과 금 허리띠를 공개하고 있다. 전시 이해를 위해 휴게공간에 시각장애인을 위한 촉각 체험물, 음성해설, 큰 글씨 책자를 비치하였고, 충북의 명소 관련 영상물을 상영하는 공간을 마련했다.
박물관 야외에는 진천 석장리 유적 백제 제철로 복원시설 및 청주 용담동 유적 통일신라 무덤을 복원 전시했다. 또한 고 이건희 회장이 기증한 836점의 석조문화재 중 210여 점을 선별하여 야외 석조 정원을 새롭게 조성했다.
국립청주박물관은 매년 다양한 주제의 특별 전시를 비롯하여 박물관 연구과정, 어린이 박물관 학교, 전통문화교실 등의 문화·교육 프로그램과 봄 문화축제 등 행사를 마련하고 이용자들에게 다채로운 경험을 제공하고 있다.",무료,https://img.hankyung.com/photo/202204/AKR20220413045900005_01_i_P4.jpg
의림지역사박물관,충북 제천시,충북 제천시 의림대로47길 7,128.2095127,37.1761486,043-641-6571,"제천 의림지는 오랫동안 기능해 온 그 역사성, 자연입지 환경을 이용해 축조한 구조적인 우수성, 관개면적이 담수면적의 13배에 이르는 관개의 효율성 등으로 국내 유일 현존 최고의 저수지라 칭합니다.
현재까지도 의림지는 저수지의 기능을 담당하며 제천 농경문화의 한 축을 담당하고 있으며, 함께 명승지로 지정된 제림과 함께 다양한 동·식물의 생태지로 기능하며 많은 사람들의 사랑을 받고 있는 공간입니다.
제천시에서는 가치를 따질 수 없는 의림지라는 보물을 담아, 2019년 1월 의림지 역사박물관을 개장, 의림지의 역사(역사의 함), 수리관개 자원과 농경문화(문화의 함), 일원에 서식하는
동·식물의 생태(생명의 함), 현대적인 디지털액자와 트릭아트 등을 통한 문화 콘텐츠 체험(추억의 함)을 상시 소개하고 있으며, 연 1회 이상의 기획전시회 운영, 스탬프 체험, 박물관 시네마, 전통놀이 체험 등 다양한 연계 프로그램을 제공하고 있습니다.","성인
2,000원
어린이?청소년?군인
1,000원",https://tour.jecheon.go.kr/DATA/clturCntnts/202012240616123382jo.jpg
한독의약박물관,충북 음성군,충북 음성군 대소면 대풍산단로 78,127.4652168,36.9705606,0507-1416-1012,"‘옛날 사람들은 병을 어떻게 치료했을까? 1920년대 치른 약제사 시험에서 수석 합격해 처음으로 합격증을 받은 인물은 누구일까? 서양에서는 사람에게 동물 피를 수혈한 때가 있었다는데 왜 그랬을까? 우리 선조들은 소화가 안 될 때 어떻게 했을까?’ 동서양 의약 관련 유물을 관람하고 소화제를 만들어보며 이런 궁금증을 풀고 지식도 넓히는 흥미로운 박물관이 있다. 충북 음성 한독음성공장에 자리한 한독의약박물관이다. 누구나 무료로 관람할 수 있고, 연령대별 맞춤 프로그램이 충실해 가족 여행 코스로 제격이다.",무료,https://www.handokmuseum.com/img/og_img.jpg
청주고인쇄박물관,충북 청주시,충북 청주시 흥덕구 직지대로 713 청주고인쇄박물관,127.4714753,36.6440447,043-201-4266,"청주시는 유네스코와 함께 「직지」의 유네스코세계기록유산 등재를 기념하고 세계기록유산 보존과 활용에 크게 공헌한 개인과 단체에 유네스코 직지상을 수여함으로써 금속활자 발상지인 청주, 더 나아가 대한민국의 위대한 문화유산을 알리는데 힘쓰고 있다.
근현대인쇄전시관은 19세기 말 서양의 납활자 인쇄기술 도입을 시작으로, 한국 근대인쇄술의 발전사와 현재 그리고 미래 인쇄기술의 발전 방향을 소개하고 있다. 한국의 근대인쇄문화가 어떻게 발달하여 오늘에 이르렀는지를 배우고, 미래는 어떤 모습으로 발전해 갈 것인지를 가늠해 볼 수 있다. 어린이와 가족, 어른들을 위한 인쇄 체험교실이 마련되어 있어 근대와 현대의 인쇄문화를 이해하는데 도움이 될 것으로 기대된다.

",무료,https://img.hankyung.com/photo/202306/AKR20230627107700064_01_i_P4.jpg
증평민속체험박물관,충북 증평군,충북 증평군 증평읍 둔덕길 89 증평민속체험박물관,127.5960004,36.7640792,043-835-4154,"둔덕마을에는 우리의 고유한 전통문화를 보고 느끼고 체험할 수 있는 증평민속체험박물관이 있다. 넓은 잔디를 중심으로 두레관이 먼저 보이고 그 뒤로 문화체험관, 향토자료관, 공예체험장, 한옥체험장 등이 자리한다. 두레관은 증평의 전래 민속놀이인 ‘장뜰두레놀이(농사와 관련된 노동요를 풍장과 함께 구성한 놀이)’를 주제로 꾸며졌다. 고된 농사일을 놀이로 승화해낸 우리 선조들의 멋과 흥을 느껴볼 수 있는 흥미로운 공간이다. 단체 요청이 있으면 수시로 두레놀이 공연이 펼쳐진다. 문화체험관에서는 세계 각국의 인형과 대장간 전시가, 향토자료관에서는 농경문화와 증평의 역사에 관한 전시가 이뤄진다. 한옥체험관은 단순히 보는 데서 그치지 않고 실제 들어가 볼 수 있는 공간이 많아 제대로 된 체험이 가능하다. 대장간체험, 먹거리체험, 목공예체험, 도자기체험, 공예체험 등 아이들이 흥미를 느낄 만한 체험거리가 가득하다.",체험별 별도 유료,https://cdn.ccdailynews.com/news/photo/202301/2179614_630327_1359.jpg
한지체험박물관,충북 괴산군,충청북도 괴산군 연풍면 원풍로 233,128.0152241,36.7855928,043-832-3223,"원풍리 옛 신풍 분교 자리에 위치한 괴산 한지체험박물관은 9,380㎡의 부지에 지상 1층 건축면적 1,326㎡ 규모의 한지 박물관이다.
한지 단일품목으로는 세계 유일의 한지박물관이며, 토종 닥나무를 이용하여 많은 연구와 전통문화 계승 한지의 진정한 가치를 확인할 수 있는 문화공간이다. 무형문화재로 지정된 안치용 한지 장인이 관장을 맡고 있으며, 이곳에서 한지 관련 유물을 관람하고, 전통 한지 뜨기, 야생화지 뜨기, 한지 소원 만들기 등을 직접 만드는 체험을 해 볼 수 있다.

상세정보
"," 일반 : 성인 4,000원 / 청소년 3,000원
단체 : 성인 3,000원 / 청소년 2,000원 (20인이상 )
※ 입장료 상당의 고급한지 증정 / 체험비 별도",https://www.goesan.go.kr/DATA/tour/info/726/A102BD57-5CB4-D098-EBC7-2AE534C8595A.jpg
수안보 곤충박물관,충북 충주시,충청북도 충주시 수안보면 관동길 152,127.9999642,36.8543193,043-857-1800,"수안보 곤충 박물관은 1500종 1만여 점의 국내외 곤충표본이 전시된 곳이다. 충주지역에서 직접 채집한 곤충류와 외국 곤충류가 있어 국내외 곤충을 비교하며 학습할 수 있다. 박물관과 함께 운영되는 체험학습장에서는 천연 염색, 나무곤충 만들기, 점핑클레이로 곤충 표현하기 등 곤충과 관련된 다양한 체험을 경험할 수 있다. 또한 살아있는 장수풍뎅이, 왕사슴벌레 등의 곤충을 직접 만져보는 기회도 가져볼 수 있다.
이 밖에도 박물관 내 동물교감치유농장이 마련되어 있어 곤충 외에 자연에서 만나볼 수 있는 양, 토끼, 꿩 등의 동물들을 직접 눈으로 보고 먹이주기 체험을 통해 보다 가깝게 교감할 수 있고 짚라인, 해적 밧줄놀이 등의 놀이 기구도 즐길 수 있다.","24개월~성인 5,000원 (동물먹이 제공)
※ 입장료로 곤충박물관, 창의박물관, 동물교감치유농장 관람 및 체험 가능",https://post-phinf.pstatic.net/MjAyMjEwMTlfMTU4/MDAxNjY2MTgzNDYzMDk4.19i11wbG-IGQ_8WaaKreCIj669xbC_W0Srhvvh37G1wg.7RHPxxGNv8hB-qa3p9QQfvUK3K15beqzHqXJFjiHpIgg.JPEG/IMG_7818.JPG?type=w800_q75
세계무술박물관,충북 충주시,충청북도 충주시 남한강로 24,127.9077847,36.988511,043-857-9416,"세계무술박물관은 충주 탐금공원(구 세계무술공원) 내에 위치한 박물관이다. 박물관 1층에서는 세계무술과 풍물을 전시하고 있다. 세계 무술을 영상으로 감상할 수 있으며, 여러 무술 단체들이 기증한 민속 공예품과 무기들을 관람할 수 있다. 또한 그동안 열렸던 ‘충주세계무술축제’의 순간을 담은 사진들도 볼 수 있다.
2층은 세계 무술의 기원과 역사에 대해서 관람할 수 있다. 우리나라 무술의 기원과 역사에 대해 자세히 알 수 있다. 고구려 시대부터 이어온 우리나라 전통 무술인 수박과 택견에 대해서도 살펴볼 수 있다. 택견의 계보와 여러 동작을 동영상과 조형물로 함께 관람하며 공부할 수 있다.
3층에서는 다양한 세계무술을 살펴볼 수 있다. 아시아, 유럽, 아프리카, 아메리카의 무술을 소개하고, 여러 나라의 무기와 관련 자료를 전시하고 있다. 베는 무기, 찌르는 무기, 방어용 무기 등 다양하게 분류하여 소개하고 있다. 우리나라 무술인 택견의 시작과 전수에 대해서 신한승 선생님의 모형물과 함께 관련 기록을 살펴볼 수 있다.

",무료,https://cdn.imweb.me/thumbnail/20200711/60ca3aeae4a72.jpg
세계기독교박물관,충북 제천시, 충청북도 제천시 백운면 구학산로 1164-14,128.0214673,37.2061385,043-651-0191 / 010-7149-7345,"2020년 5월 22일, 조용한 산골짜기 마을에 지어진 세계기독교박물관에는 김종식 관장님이 일평생 수집한 1만 3천여점의 기독교 관련 유물들이 전시되어 있습니다.
세계기독교박물관은 종교 유물의 엄숙함과 자연의 평화로운 매력을 모두 지니고 있는 박물관으로 이스라엘 지형을 본따 만들었으며 성서에 등장하는 나무와 열매를 심어 마치 이스라엘 성지순례를 온 것 같은 착각을 일으킬 정도입니다.
본관 건물은 예루살렘을 향해 서 있으며, 큼직한 촛대와 히브리어(‘태초에’)를 디자인하여 성스러운 느낌을 배가하였습니다.
박물관은 제1,2전시실과 야외전시장, 특별전시장, 체험장, 성지 이스라엘, 성경식물원 등으로 전문 해설사와 꼭 동행하여 안내를 들으셔야 하므로 반드시 예약을 하셔야 하며, 해설시간은 120분으로 알차게 준비되어 있습니다.","성인 기준 1만원이지만 입장객 수에 따라 6천원까지 할인되며, 다자녀 가족이나 재방문자에게도 50%할인 혜택이 주어진다.",https://cdn.jayupress.com/news/photo/202308/20840_27750_353.jpg
충주박물관,충북 충주시,충청북도 충주시 중앙탑면 중앙탑길 112-28,127.8652275,37.0167203," 안내실 043-850-3924
사무실 043-850-3921","충주 박물관은 중원 문화권의 학술 연구과 유물 및 유적 등을 보존하고 각종 특별전 등의 행사를 통해 시민과 함께 하는 박물관 실현을 목적으로 설립된 곳이다. 제1전시관, 제2전시관, 야외전시공간 등으로 구성되어 있다.
제1전시관은 충주 미륵대원지, 정토사 홍법국사실상탑 모형, 석불입상 등과 같은 불교 유적을 전시한다. 야외전시유물은 율능리 석불입상, 장성리 삼층석탑, 용탄동 석탑 등의 불교 관련 유물과 각종 묘비, 문안석 등 많은 석조 유물이 전시되어 있다.
제2전시관은 충주 지역에서 출토된 자료를 중심으로 선사시대부터 통일신라시대까지 시대적 특징을 알아 볼 수 있는 곳으로 금릉동에서 출토된 찍개와 충주 조동리 유적에서 출토된 돌도끼, 그물추, 화살촉 등 선사시대 유물, 삼국·통일신라 시대의 토기, 기와류, 금속 유물을 전시했다. 특히 충주 고구려비와 단양적성비(모형)를 전시하여 충주 지역이 삼국시대 최대 요충지이었음을 보여주고 있다.",무료,https://www.cjwn.com/imgdata/cjwn_com/201901/2019011525303471.jpg
한국차문화박물관,충북 제천시,충청북도 제천시 봉양읍 국사봉로 741,128.1146147,37.0897545, 043-651-8800,"폐교되었던 옛 봉양초등학교 봉남분교장을 수리, 2017년 5월 개관한 한국차문화박물관은 중국 전통차인 보이차 전물 박물관으로, 1970년대부터 50여년 간 중국, 일본 등을 오가며 수집한 2,500여점의 차 관련 제품이 상설 전시되고 있습니다.
한국차문화박물관은 권진혁 관장이 사비로 수집한 찻잔과 차호(자사호), 주전자 등 중국 고대와 근대의 차 도구들을 만날 수 있으며, 차마고도의 다양한 보이차와 차 문화 관련 다양한 제품, 차 시음까지 체험해볼 수 있습니다.","성인 : 8,000 / 학생·단체 : 5,000",https://tour.jecheon.go.kr/DATA/clturCntnts/20201223105318780MJX.jpg
진천화폐박물관,충북 진천군,충북 진천군 진천읍 생거진천로 1401 (장관리 357),127.4331742,36.8713761,043-753-7530,"진천 화폐박물관은 진천과 진천을 잇는 국도인 생거진천로 위에 자리잡고 있다. 이 공간은 젊어서부터 화폐를 사랑하게 된 남자, 김진세(65)관장이 운영하는 화폐박물관이다. 어린 시절 가난한 삶으로 인해 돈이 참으로 소중했던 시기를 겪었던 김 관장. 점차 나이를 먹고 지속적으로 변화하는 화폐를 보며 어린시절 소중했던 화폐들의 향수를 잊지 못했고, 조금씩 화폐들을 수집하기 시작했던 것이 지금의 화폐박물관의 시작이었다.",무료,https://mblogthumb-phinf.pstatic.net/MjAyMTAxMjlfOTkg/MDAxNjExOTAzMzM1MjAx.52C3VN1LxYUcYvLsRuJVlzdYLebYaA6OXJrsm4GbG_og.Pn2wedp4ZyTAtRCpTFCY0uKUVwzQmC79nPvdxE4w0VIg.JPEG.jincheongun/1.jpg?type=w800
