휴양림_명칭,지역,휴양림_주소,위도,경도,전화번호,내용,비용,이미지주소
민주지산자연휴양림,충청북도,충청북도 영동군 용화면 휴양림길 60,36.05313318,127.8243884,043-740-3438,"민주지산 자연휴양림은 충청북도 최남단인 영동군 용화면 조동리에 자리하고 있으며, 충청 · 전라 · 경상도와 이웃하고 있다. 소백산맥 줄기에 분포하는 각호산(1,176m), 민주지산(1,241.7m) 등 주변의 명산에 둘러싸여 사계절 숲의 아름다움을 만끽할 수 있는, 태고의 신비를 간직한 자연 그대로의 휴양림이다. 해발 700m의 민주지산 휴양림은 인체에 가장 적합한 기압 상태로 생체리듬에 가장 좋다. 깨끗하게 정돈된 숙박시설, 철 따라 산행의 즐거움이 달라지는 등산로, 피톤치드 풍부한 산림욕장, 건강지압을 위한 맨발 숲길, 야간조명이 갖춰진 사방댐 분수는 일상에 지친 몸과 마음을 맑게 하기에 충분하다.
휴양림 관리도를 따라 조성된 산열매향수길은 고향의 향수를 느끼게 하고, 울창한 숲 속의 다양한 식생은 수목에 대한 해설이 있어 가족 단위나 학생들에게 자연학습의 좋은 기회를 제공하고 있다. 또 영동의 맑은 산수로 빚은 곶감, 포도, 사과, 배, 호도, 고로쇠수액, 표고, 산 약초 등 전국에서도 유명한 영동의 특산물을 만나보는 행복한 장소이기도 하다. 숙박시설은 홈페이지를 통해 예약할 수 있으며 야영장은 선착순으로 현장 방문 시에만 예약 가능하다.

민주지산 자연휴양림은 충청북도 최남단인 영동군 용화면 조동리에 자리하고 있으며, 충청 · 전라 · 경상도와 이웃하고 있다. 소백산맥 줄기에 분포하는 각호산(1,176m), 민주지산(1,241.7m) 등 주변의 명산에 둘러싸여 사계절 숲의 아름다움을 만끽할 수 있는, 태고의 신비를 간직한 자연 그대로의 휴양림이다. 해발 700m의 민주지산 휴양림은 인체에 가장 적합한 기압 상태로 생체리듬에 가장 좋다. 깨끗하게 정돈된 숙박시설, 철 따라 산행의 즐거움이 달라지는 등산로, 피톤치드 풍부한 산림욕장, 건강지압을 위한 맨발 숲길, 야간조명이 갖춰진 사방댐 분수는 일상에 지친 몸과 마음을 맑게 하기에 충분하다.
휴양림 관리도를 따라 조성된 산열매향수길은 고향의 향수를 느끼게 하고, 울창한 숲 속의 다양한 식생은 수목에 대한 해설이 있어 가족 단위나 학생들에게 자연학습의 좋은 기회를 제공하고 있다. 또 영동의 맑은 산수로 빚은 곶감, 포도, 사과, 배, 호도, 고로쇠수액, 표고, 산 약초 등 전국에서도 유명한 영동의 특산물을 만나보는 행복한 장소이기도 하다. 숙박시설은 홈페이지를 통해 예약할 수 있으며 야영장은 선착순으로 현장 방문 시에만 예약 가능하다.

민주지산 자연휴양림은 충청북도 최남단인 영동군 용화면 조동리에 자리하고 있으며, 충청 · 전라 · 경상도와 이웃하고 있다. 소백산맥 줄기에 분포하는 각호산(1,176m), 민주지산(1,241.7m) 등 주변의 명산에 둘러싸여 사계절 숲의 아름다움을 만끽할 수 있는, 태고의 신비를 간직한 자연 그대로의 휴양림이다. 해발 700m의 민주지산 휴양림은 인체에 가장 적합한 기압 상태로 생체리듬에 가장 좋다. 깨끗하게 정돈된 숙박시설, 철 따라 산행의 즐거움이 달라지는 등산로, 피톤치드 풍부한 산림욕장, 건강지압을 위한 맨발 숲길, 야간조명이 갖춰진 사방댐 분수는 일상에 지친 몸과 마음을 맑게 하기에 충분하다.",무료,https://image.foresttrip.go.kr/frip/efda127f-2f66-48ef-a574-8b1799893fe3.JPG
박달재자연휴양림,충청북도,충청북도 제천시 백운면 금봉로 228,37.14706386,128.0457749,043-652-0910,"* 울창한 숲과 기암괴석이 아름다운 곳, 박달재자연휴양림 *

“천둥산 박달재를 울고 넘는 우리 님아.”로 유명한 노래 “울고 넘는 박달재”로 유명한 곳, 박달재. 박달재는 경상도 선비 박달과 충청도 처녀 금봉의 애절한 사랑으로도 유명하다. 박달재 자연휴양림은 이렇듯 유서깊은 박달재 주변에 자리잡고 있다.

휴양림에는 100-170년생 소나무 및 잡목, 울창한 성림 등의 기암괴석과 조화를 이루는 수려한 자연경관을 이용하여 개발되었다. 그리고 울창한 숲이 기암괴석과 조화를 이르고 있고 특히 경은사(도덕암) 절벽에 자라는 소나무의 모습은 아름다운 풍경과 함께 고결함을 느끼게 하며 한 폭의 동양화를 방불케 한다. 박달재 고개마루에는 팔각정과 옹달샘, 휴게소, 소공원이 조성되어 있다.

* 박달재자연휴양림을 제대로 즐기려면? *

박달재자연휴양림은 계곡에서 흐르는 맑은 물은 특히 여름철에도 손이 시릴 정도로 차가와 더위를 식히려는 많은 피서객들이 찾고 있다. 하지만 휴양림을 제대로 즐기려면 주변의 다양한 자연경관을 즐기는 것이 좋다. 산 정상의 전망대에 오르면 백운산, 구학산 등 크고 작은 준봉들이 산해를 이루고 20km 지점의 제천시까지 한눈에 내려다 볼 수 있다. 산정의 옹달샘약수는 속세의 모든것을 씻어 주듯이 시원하다. 휴양림 동쪽 6km 지점에 천주교 배론성지가 있어 산행과 성지순례를 함께 할 수 있다. ",무료,https://blog.kakaocdn.net/dn/ciSCae/btrGY1C3QzW/qZhxvk3KXgJPbDiA9MraK0/img.jpg
백야자연휴양림,충청북도,충청북도 음성군 금왕읍 백야로 461-97,36.95683951,127.6096488,043-878-2556,"백야자연휴양림 오토캠핑장은 충북 음성군 금왕읍에 있다. 음성군청을 기점으로 17㎞가량 떨어졌다. 자동차를 타고 생음대로, 음성로, 백야로를 이어 달리면 닿는다. 도착까지 걸리는 시간은 25분 안팎이다. 이곳은 음성의 대표 관광지로 손꼽히는 백야자연휴양림에 터를 잡았다. 숲이 잘 가꿔져 있어서 자연친화적인 캠핑을 즐길 수 있다. 수목원, 수영장, 운동시설 등 부대시설이 다채로워 캠핑 외에 즐길거리가 많다. 캠핑장에는 일반 야영장 7면을 마련했다. 바닥은 모두 자갈로 이뤄졌으며, 사이트 크기는 가로 7m 세로 8m로 널찍하다. 트레일러와 카라반 동반 입장이 가능하다는 것도 장점 가운데 하나다. 평일 주말 모두 운영하지만, 매년 11월부터 이듬해 3월까지 휴장한다. 금왕 공설운동장 방면으로 나가면 여러 종류의 다양한 음식점이 있는 것도 장점이다.",무료,https://gocamping.or.kr/upload/camp/1272/thumb/thumb_1000_96940lp2t7ZmKkDts28E6ism.jpg
봉황자연휴양림,충청북도,충청북도 충주시 중앙탑면 수룡봉황길 540,37.05652102,127.8297473,043-870-7920,"봉황자연휴양림 숲속야영장은 충북 충주시 중앙탑면 봉황리에 자리 잡았다. 충주시청을 기점으로 15km가량 떨어졌다. 자동차를 타고 탄금대로와 묘곡내동길을 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 20분 안팎이다. 캠핑장에는 데크로 이뤄진 일반캠핑 사이트 5면과 카라반 6대가 마련돼 있다. 카라반 내부에는 개수대, 화장실, 조리도구, 침대 등 일상생활이 가능한 수준의 시설이 완비돼 있다. 캠핑장이 봉황자연휴양림 내부에 있으므로 산책로 등 휴양림의 부대시설을 이용해보는 것도 좋겠다.
※ 반려견 동반 불가능",무료,https://image.foresttrip.go.kr/frip/585816a0-707a-4b45-90b2-0a95ec1477ac.jpg
생거진천자연휴양림,충청북도,충청북도 진천군 백곡면 명암길 435-135,36.92399781,127.390234,043-539-3552,"생거진천 자연휴양림은 수려한 경관을 지닌 진천군 백곡면 명암리 무제산 일원에 자리 잡고 있다. 자연생태계를 유지 보전하면서 산에서 경험할 수 있는 건강한 휴양 활동을 제공한다. 산림이 가지고 있는 자원을 이용하여 다양한 휴식과 체험 공간, 자연 학습과 산림 교육의 장소로 이용되고 있다. 휴양림에서는 숲 해설과 유아 숲체험 프로그램을 운영하고 있다.",무료,https://image.foresttrip.go.kr/ino/goods/b388c22e-40ae-43bd-ab89-4eb98aad94b0.jpg
성불산자연휴양림,충청북도,충청북도 괴산군 괴산읍 충민로기곡길 78,36.80794799,127.8463,043-830-2679,"괴산읍에 위치한 성불산자연휴양림은 생태휴양 여행의 길라잡이라 할 수 있다. 성불산(成佛山)은 오래전 산 위에 부처를 닮은 불상이 있었다고 해서 그 이름이 유래한다. 여느 등산객들에게는 이름도 낯선, 해발 520m의 비교적 작은 산이지만 그 산만이 가지고 있는 풍경과 풍채는 다른 큰 산과 견줘도 결코 부족함이 없다. 암봉만 해도 무려 십여 개에 가깝고 능선을 타면서 바라보는 이 일대 자연경관은 성불산이 괴산에서 결코 빠질 수 없는 명산임을 실감하게 한다. 성불산의 여러 등산 코스 중 성불산자연휴양림 코스는 읍내에서도 진입하기에 수월해 많은 사람들이 애용한다.",무료,https://www.goesan.go.kr/DATA/tour/info/634/CAB9EEE3-5658-187D-BFFC-2C4E07597534.jpg
소백산자연휴양림,충청북도,충청북도 단양군 영춘면 하리방터길 180,37.06126424,128.4678947,043-423-3117,"고구려 온달장군 설화가 깃든 온달산성과 천태종 총본산 구인사가 위치한 단양군 영춘면 하리 산62번지에 위치하고 있으며, 260ha에 이르는 군유림의 풍부한 산림자원을 활용하여 3개소에 소백산 화전민촌 화전민가 9동, 소백산 자연휴양림 산림문화휴양관 2동 15실, 숲속의 집 10동, 정감록명당 체험마을 15동 등 모두 49동에 이르는 산림휴양 시설을 조성하였으며, 소백산 화전민촌과 정감록 주변 산림에 임도를 활용한 숲속 탐방로와 소백산 자락길 6구간 등이 조성되어 풍부한 산림에서 산림욕과 숲속 트레킹을 통해 맑은 공기를 호흡하고 접촉하면서 산책 및 체력단련이 가능한 곳입니다.",무료,https://image.newsis.com/2021/11/04/NISI20211104_0000861993_web.jpg
소선암자연휴양림,충청북도,충청북도 단양군 단성면 대잠2길 15,36.91922041,128.3123141,043-422-7839,"이곳은 빼어난 풍광의 선암계곡이 있는 두악산 자락에 자리잡은 자연 휴식처로 매년 많은 방문객이 찾는 힐링 명소이다. 단양 IC에서 승용차로 10분 정도 거리로 59 국도변에 위치해 있다. 총면적은 67만m²에 이르고, 500명에서 최대 1,000명까지의 인원을 수용할 수 있는 규모이다.
숙박시설로는 숲속의 집 11개, 휴양관 5개과 산림복합휴양관 22개, 통나무집 7개가 있다. 부대 시설로는 온열테라피와 회의실, 식당, 목재체험관이 있으며, 온열테라피는 동절기에 한하여 하루 세 번 운영한다. 체험 프로그램으로는 목재체험관에서 이루어지는 꽃병 만들기, 플레이팅 도마, 소품 거치대, 핸드폰 스피커 만들기 등의 나무를 재료로 한 만들기 체험이 있다.
휴양림 앞으로는 계곡물이 흘러 여름철에는 자연 물놀이장으로 이용할 수 있으며 봄에는 철쭉, 가을에는 단풍의 절경을 감상하며 지친 일상의 피로를 풀며 휴식을 취하기에 좋다. 하류 부근에는 단양팔경인 상선암, 중선암, 하선암이 있으며 이 곳을 따라 선암골 생태유람길이 지나간다. 인근에 충주호, 사인암, 두악산, 도락산, 제비봉 등 많은 관광지와 명산 등이 있어 함께 둘러볼 것을 추천한다.",무료,https://image.foresttrip.go.kr/frip/95bbc995-8f85-4cd3-ad14-89cadea902da.JPG
속리산숲체험휴양마을,충청북도,충청북도 보은군 속리산면 속리산로 596,36.49245442,127.792472,043-540-3220,"백두대간 속리산 깊은 산골, 세속의 시름을 씻는 휴양의 명소인 속리산 숲체험휴양마을은 충청북도 보은군 속리산(俗離山) 자락인 충북 보은군에 위치하고 있다. 속리산은 조선시대 왕들이 심신을 다스리던 곳이다. 속리산의 아름드리 소나무 숲 속 대자연에서 휴식을 취하고 심신 수양 및 건강을 도모하는 자연치유 공간으로서 숲에서 다양한 체험활동을 통해 삶의 여유를 찾고 자아에 대한 사랑과 자연에 대한 소중함을 찾을 수 있다. 숙박시설 및 각종 부대시설을 이용할 수 있으며, 여름철엔 수영장도 이용이 가능하다. 휴양마을 내 식당을 운영하고 있으므로 객실 내·외 취사 및 바비큐는 금지하고 있다.",무료,https://image.foresttrip.go.kr/frip/3044d673-5230-444e-8e27-162b1777af66.JPG
수레의산자연휴양림,충청북도,충청북도 음성군 생극면 차생로 310-108,37.03888889,127.6513842,043-878-2013,"수레의산 자연휴양림은 조선시대 정승 양촌 권근 묘지의 전설이 전해오는 전설의 샘과 상여 바위, 병풍바위 등 특이 지형지물이 있는 곳이다. 병풍바위에서는 수레의 산을 앞, 뒤로 시원하게 조망할 수 있다. 산 능선부의 철쭉과 진달래가 꽃을 피우며 다양한 참나무 숲으로 이루어져 있어 맑은 공기와 자연의 향기를 느낄 수 있다.
푸른 자연 속에서 자유를 만끽하며 가족, 친구들과 함께 좋은 추억을 만들 수 있는 공간으로, 숙박과 야영뿐만 아니라 산책길이 잘 정비되어 산행 및 나들이 공간으로도 찾기 좋은 곳이다. 산이 아름답고 경치가 좋아 많은 등산객들이 방문하고 있다. 휴양림 인근에는 철박물관, 권근 3대 묘소, 심당짚공예연구소 등이 있다.",무료,https://mblogthumb-phinf.pstatic.net/MjAxOTAzMTJfOTQg/MDAxNTUyMzkzNjc3MTk1.g65EHj7YVhvrjTdmUXtZp8tQZgRs7wQcNS2vvE_mGMYg.1p3J7S1u_10REK-P3J9jzFyLlHepiiO9CO9xsswlxzwg.PNG.ddabunhe/%EC%BA%A1%EC%B2%98.PNG?type=w800
옥화자연휴양림,충청북도,충청북도 청주시 상당구 미원면 운암옥화길 140,36.59894867,127.6943726,043-270-7381,"청주권의 대표적인 청정지역이며 여름휴양지인 옥화9경일대의 산 136ha에 조성된 옥화자연휴양림에는 숙박이 가능한 여러 형태의 산막과 야영장,물놀이장, 체육시설이 갖춰져 있으며, 울창한 숲속에서 삼림욕을 즐길 수 있는 오솔길과 등산로가 잘 꾸며져 있다.",무료,https://mblogthumb-phinf.pstatic.net/MjAxOTA1MTlfMTQ0/MDAxNTU4MjQ5NzQ4NDg0.U1-b03Wju4CdnnV72jk4e5hMbDGN1NtpdXhZNcUAsBwg.V4WReltg9OBOTWSG885NJ9J1h_UbjqDsAo1uNXkNyGQg.JPEG.ddabunhe/P1220275t.JPG?type=w800
장령산자연휴양림,충청북도,충청북도 옥천군 군서면 장령산로 519,36.24572109,127.5529909,043-730-3491,"해발 656m의 장령산은 자연경관이 수려하고 아름답기로 소문난 산으로 소나무, 단풍나무, 활엽수가 자생하고 있으며 가을단풍이 아름답다. 휴양림을 관통하는 금천 계곡은 맑고 깨끗하며 특히 계곡 물놀이장은 여름에 휴식공간으로는 최적지이다.
장령산에 위치한 용암사는 신라 진흥왕 13년에 의신 조사가 이곳의 산세를 보고 신비함에 감탄, 사찰을 창건하였다는 유래가 있다. 용암사에는 충청북도 유형문화재 제3호인 쌍석탑과 제8호인 여래입상마애불이 있다",무료,https://www.newskr.kr/news/photo/202110/72634_59094_2927.jpg
조령산자연휴양림,충청북도,충청북도 괴산군 연풍면 새재로 1795,36.81234007,128.0462421,043-833-7994," 조령산 자연 휴양림은 수안보 온천 관광지에서 불과 10여분 거리에 떨어진 충북 괴산군 연풍면, 문경새재 삼관문 아래 우거진 수림 속에 위치하고 있습니다.
통나무집,야영장,캠프파이어장,눈썰매장 등등을 두루 갖추어 하루 1600여명 이상의 수용능력을 갖춘 가족 및 문경새재 관광객들의 휴식처로 각광을 받고 있습니다.
휴양림 산 기슭 위로는 신선봉(967m) 과 마폐봉(927m), 그리고 깃대봉(835m)등등의 암봉들이 기암절벽을 뽐내며 우두커니 서있고 산 아래로 문경새재길이 굽이굽이 내려가며 그야말로 천혜의 절경지이자 문화유적지인 곳입니다.
휴양림에서 시원한 계곡을 따라 내려가면 괴산 국민관광지이며 그 아래로 시원한 수옥폭포가 자리잡고 있습니다.",무료,https://image.foresttrip.go.kr/ino/goods/4bac3b2c-dff7-49ef-b879-3cee9a4103e2.jpg
좌구산자연휴양림,충청북도,충청북도 증평군 증평읍 솟점말길 107,36.70556804,127.6511206,043-835-4552,"증평 좌구산 자연휴양림은 한남금북정맥 최고봉 좌구산 자락에 자리 잡고 있다. 예부터 행복과 장수를 상징하는 거북이가 앉아있는 형상인 좌구산은 휴양을 목적으로 하는 휴양림과 매우 잘 어울린다고 볼 수 있다. 이곳은 숙박을 목적으로 하지 않아도 숲 명상의 집, 명상 구름다리, 좌구산 천문대가 있어 다양한 체험을 할 수 있어 당일 여행지로도 적합한 곳이다.
좌구산 숲 명상의 집은 산림 치유 프로그램, 숲 해설, 유아 숲 프로그램 등을 운영하고 있어 아이들과 오기도 좋은 곳이다. 또한 좌구산 줄타기, 좌구산 썰매장, 숲속 모험시설이 있어 산림 레포츠를 즐길 수 있다. 가까운 곳에 있는 삼기저수지는 안개 낀 날에 좌구산과 함께 운치를 더한다. 휴양림을 중심으로 휴양촌, 삼기저수지, MTB 코스, 등산로 등의 시설들이 연계되어 있어 문화 체험, 심신 단련, 휴양을 한 번에 체험할 수 있는 종합 휴양관광지이다.",무료,https://image.foresttrip.go.kr/frip/e5a210c8-f412-4f5b-8c6e-38783ca2d987.JPG
충북알프스자연휴양림,충청북도,충청북도 보은군 산외면 속리산로 1880,36.57319231,127.7858736,043-543-1472,"보은은 국토의 중앙부에 위치한다. 속리산을 위시해 충북의 북쪽을 동서로 가르는 백두대간의 한남금북정맥이 지난다. 그 지맥은 다시 구병산 자락으로 뻗어가며 보은군의 동쪽 산세를 이룬다. 충북 일대에서 소문난 풍경으로 ‘충북알프스’라는 이름이 붙었다. 특허청에 업무 표장 등록을 했으니 애칭이 아니라 공식 명칭이다. 총 4개 구간 43.9km로 형제봉, 천왕봉, 비로봉, 문장대 등 속리산과 구병산의 아홉 개 봉우리를 아우른다. 구간별로 산행에 4~8시간이 걸린다.",무료,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2c5429f0-f20a-496a-babd-6741c41f419b
태학산자연휴양림,충청남도, 충청남도 천안시 동남구 풍세면 돈마루1길 188,36.728045,127.0917015,0507-1315-5108,"풍세면 삼태리와 광덕면 매당리, 아산시 배방읍 수철리의 경계 태학산(해발 450m)에 있는 자연휴양림이다. 학이 춤을 추는 형태로 생겼다 하여 태학산이라고 이름 붙여진 곳으로 많은 종류의 자생화와 수목이 분포되어 있고, 특히 소나무가 집단으로 자라고 있으며 가족 단위 휴양에 적당하다.
주요시설로는 숙박시설인 숲속의집과 야영시설인 오토캠핑장, 어린이 놀이시설이 있고, 3개 코스의 등산로와 유아숲체험원, 주차장 등이 있다.
태학산 정상에는 고려시대 불상 양식을 단적으로 보여주는 거대한 천안 삼태리 마애여래입상(보물 4)이 있다.",없음,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f3b68b8-e805-42b2-acf7-12c12be97bcb
공주산림휴양마을,충청남도, 충청남도 공주시 수원지공원길 222,36.4234699,127.118359,041-855-0855,충청남도 공주시의 금학동과 주미동의 경계부에 있는 주미산에 위치한 공주산림휴양마을은 울창한 산림속에 다양한 산림휴양시설을 갖추고 자연속에서 여유로운 휴식을 취할 수 있는 장소로 숙박시설 및 숲체험 등 다양한 관광거리를 제공하고 있다.,무료,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b5fcba1-5c6e-4897-b82a-658d40be5824
금산산림문화타운,충청남도,금산군 남이면 느티골길 200,36.0669541,127.3687011,041-750-3434,금산군 남이면 느티골길 200,"입장료 일반인 개인 기준 1인 1,500원, 야영데크 주간용 5,000원, 숙박데크 10,000원",https://www.geumsan.go.kr/tour/img/sub02/sub020605_img01.jpg
진산자연휴양림,충청남도,충남 금산군 진산면 묵산리 87-13,36.1227778,127.3444444,041-752-4138,"대둔산자연휴양림은 충남 금산군 대둔산 동쪽 자락에 위치한 자연휴양림이다. 계곡이 깊고 산봉우리가 웅장하며 천연활엽수림과 산 중턱 이하의 인공조림지가 자연과 인공의 조화가 잘 이루고 있는 지역이다. 숙박시설은 한국관과 핀란드관으로 나누어 운영하고, 자연표고버섯재배지, 세미나룸, 고르비광장, 야외수영장, 통나무찻집, 축구장, 산책로, 숲속식당, 야외바베큐장 등의 시설을 갖추고 있다. 이곳은 소련의 마지막 지도자 고르바초프가 묵었던 곳으로도 알려져 있다. 대둔산자연휴양림은 국도 17호선 대둔산휴게소를 통해 접근할 수 있으며, 고속도로는 통영대전고속도로, 대중교통은 대둔산공용버스터미널을 이용하여 방문할 수 있다. 휴양림 주변에는 대둔산도립공원, 태고사, 금산이치대첩비 등이 있어 같이 둘러보기 좋다.",없음,https://mblogthumb-phinf.pstatic.net/MjAyMjA3MDVfNjIg/MDAxNjU2OTg1MTA0MDE2.i0dIdTiq0jnLzB-PIzZI_Mhv-ad7NLlbyg0z-eAB9qgg.NlaGHt1vmlzHYkTBmv1KCP5VYi9nFp928rZUK6rkfaog.JPEG.rizmam/20220703%EF%BC%BF133250.jpg?type=w800
심천치유자연휴양림,충청남도,충청남도 금산군 남일면 신동길 239-123,35.9970534,127.4824412,041-752-8300,"심천치유휴양림은 충남 금산군 남일면 신동길 239의 인삼, 약초의 고장이면서 청풍명월로 유명한 곳이며 휴식기능과 자연 치유기능을 병행 할 수 있는 곳이다. 해발 600m의 높이에 면적 106만평으로 토종소나무, 야생화, 약용식물과 어우러진 자연폭포와 맑은 계곡에는 가재, 다슬기, 빙어, 송사리, 개구리, 미꾸라지, 도룡뇽, 등이 서식하는 곳으로 사계절 계절별 테마가 있는 청정 자연치유 휴양림이다.",없음,https://gocamping.or.kr/upload/camp/100257/thumb/thumb_1000_4041nD7NvsPMjWDwN0JNWeYk.jpg
만수산자연휴양림,충청남도,충청남도 부여군 외산면 휴양로 107,36.3383091,126.7111345,041-832-6561,"부여 외산 만수산 자연휴양림은 지난 92년에 개장해 원시 산림에 다양한 휴양시설을 두루 갖췄다. 만수산 자연휴양림은 차령산맥 끝부분에 자리하고 있으며 해발 575m의 만수산에 위치해 산세가 연꽃처럼 여덟계곡으로 형성되어 경관이 수려하고 노송과 천연림이 조화를 이룬 절경에 각종 야생 조수가 서식하는 곳으로 널리 알려져 있다. 만수산에는 세조의 왕위찬탈에 격분하여 명산대천을 떠돌던 매월당 김시습선생이 말년을 보낸 무량사와 노송 숲사이로 쉴 곳을 마련한 자연휴양림이 있다. 휴양림 노송사이에서 산림욕을 즐기로라면 세상사의 근심이 언제 있었냐는 듯 상쾌한 솔내음이 온몸으로 퍼져나가는 기분을 만끽 할 수 있고, 눈과 어우러진 휴양림의 절경이 한눈에 들어온다 아름다운 소나무 숲과 맑은 계곡사이에 숲속의 집과 산림문화휴양관, 야외교육.공연장, 민속마당, 자연탐방로 등 각종 편의 시설이 잘 갖춰진 자연휴양림으로 자연의 정취를 만끽 할 수 있으며 평일과 휴일을 맞아 가족과 단체 여행객이 휴식을 즐기고 있다.
아울러, 휴양림 인근에는 고려시대 지어진 중층구조의 대웅전과 김시습 선생의 숨결이 살아있는 천년고찰 무량사와 여름철 휴양지로 각광받고 있는 수리바위계곡 등 문화탐방과 휴양을 동시에 할 수 있어 찾는 사람들로부터 인기를 더해가고 있다.",일반1200+청소년900+군인900+어린이600,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=002e1cc3-4611-4fd6-aa49-43c3eee90df0
금강자연휴양림,충청남도, 세종특별자치시 금남면 산림박물관길 110,36.4339922,127.2271433,041-635-7400,"금강 자연휴양림 야영장은 세종특별자치시 금남면 금강 자연휴양림 내에 자리했다. 사이트는 잔디 사이트 12면, 나무 데크 8면으로 이뤄졌다. 그 위쪽엔 목재로 만든 캐러밴 5동이 위치해 있다. 각 사이트에서 전기 사용이 가능하며, 공용 시설로는 남녀 화장실 각 1개소, 남녀 샤워실 각 1개소, 개수대 2개소, 대형 공용주차장이 있다. 야영장은 휴양림과 산책로로 연결되어 있어 산림 박물관, 열대온실, 동물마을 및 휴양림과 수목원 전체를 돌아볼 수 있으며, 야영장 예약 시 입장료와 주차료를 별도로 지불해야 한다.
인근에 공주 공산성, 국립 공주 박물관, 공주 민속극 박물관, 동학사(東鶴寺) 등 유명 관광지가 즐비해 연계 관광이 용이하다. 야영장이나 휴양림 내에는 매점이 없으므로 필요한 물품은 미리 준비해야 한다. 공주 시내로 가는 금강변에 다양한 식당이 있다.",1500원,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=292b9608-0a62-43e3-97f9-3301cbd61d70
용봉산자연휴양림,충청남도,충청남도 홍성군 홍북읍 용봉산2길 87,36.6443924,126.6573456,041-630-1785,"용봉산은 해발 381m로 야트막하고, 기슭에 자연휴양림이 있어 가족 단위 여행객에게 인기다. 아이들이 숲에서 마음껏 뛰고 만지고 보고 체험하며 자연과 교감할 수 있는 자연 체험 공간도 갖췄다. 휴양림 입구 산림전시관에는 홍성의 역사와 문화, 용봉산의 민속과 전설, 용봉산에서 자라는 나무 등을 한눈에 볼 수 있는 자료를 전시한다. 충남 최장거리 도보 트레일로 역사와 문화가 함께하는 내포문화숲길의 일부 구간이 용봉산을 지난다.",개인 일반 1000+청소년·군인 800+어린이 400+단체 일반 800 +청소년·군인 600 +어린이 200,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2c4ddd46-7569-42ca-a7e9-ffaa615313bc
성주산자연휴양림,충청남도, 충청남도 보령시 성주면 화장골길 57-228,36.3347068,126.6639779, 041-934-7133,"성주산자연휴양림은 보령시 동쪽에 솟은 성주산(676.7m) 자락에 위치해 있으며, 산림청에서 폐광 지역을 개발하여 휴양림으로 조성한 곳이다. 이곳에는 숲속의 집(숙박시설)과 물놀이장, 야영장 등의 시설들이 마련되어 있다. 봄에는 벚꽃 등 온갖 야생화가 만발하고, 여름에는 피서를 즐길 수 있으며, 가을에는 단풍을 즐기고, 겨울에는 눈꽃이 피는 등 사계절 내내 즐길 거리가 있다. 산책코스를 따라 휴양림 이곳저곳을 둘러보며 여유 있게 산림욕을 즐겨도 좋고 등산을 좋아하는 여행객이라면 전망대에 올라보는 것도 괜찮다.
4월에서 11월에 운영하는 숲해설 프로그램에 참여하면 꽃, 나무, 열매, 단풍, 초화류 등을 주제로 한 숲 이야기를 듣고 탐방로 등 관람 및 체험 안내를 받을 수 있다.
성주산자연휴양림은 국도 40호선에서 화장골길을 통해 접근할 수 있으며, 서해안고속도로 대천IC, 무창포IC와 서천공주고속도로 서부여IC가 가깝다. 주변에는 성주산 외에 옥마산, 보령무궁화수목원, 보령석탄박물관, 보령시청소년수련관, 성주면 소재지 등이 있다.",성인1000원 청소년/군인800원 어린이400원,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cac0a0c4-d19e-4f59-9937-8d995eec5c32
안면도자연휴양림,충청남도,충청남도 태안군 안면읍 안면대로 3195-6,36.4974942,126.3602141,041-674-5019,"충남 태안 안면도자연휴양림은 소나무뿐만 아니라 중부지방의 다양한 야생화를 볼 수 있는 곳이다. 소나무 아래마다, 탐방로 길섶마다 작고 예쁜 야생화가 핀다. 안면도자연휴양림은 크게 휴양림 구역과 수목원 구역으로 나뉘는데, 야생화가 비교적 많은 곳은 수목원 구역이다. 아산정원, 목련원, 야생화원, 생태습지원 등 각종 테마 정원을 둘러봐도 좋지만, 입구에서 왼쪽으로 난 편백 숲길을 따라 걸으며 야생화와 눈 맞추는 재미도 쏠쏠하다. 닭의장풀을 비롯해 꽃며느리밥풀, 벌개미취, 까실쑥부쟁이, 쥐꼬리망초, 꽃범의꼬리, 산박하 등을 볼 수 있다.",일반 1000원+청소년 800원 +군인 800원 + 어린이 400원,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9a583e13-957d-463f-ae3a-a9e2d63bb765
